id,description,counterparty,amount,expected_category,language,difficulty,ambiguity,scenario_group,notes
en-income-01,Monthly payroll credit,,125.0,income,en,easy,False,en-income-01,
en-income-02,Employer compensation July,,125.0,income,en,easy,False,en-income-02,
en-income-03,Wages ACME Ltd,,125.0,income,en,medium,False,en-income-03,
en-income-04,Regular work payment,,125.0,income,en,medium,False,en-income-04,
en-income-05,Annual bonus received,,125.0,income,en,medium,False,en-income-05,
en-income-06,Interest credit from bank,,125.0,income,en,hard,True,en-income-06,
en-income-07,Incoming freelance earnings,,125.0,income,en,hard,True,en-income-07,
de-income-01,Monatliche Gehaltsgutschrift,,125.0,income,de,easy,False,de-income-01,
de-income-02,Arbeitgeber Zahlung Juli,,125.0,income,de,easy,False,de-income-02,
de-income-03,Lohn Firma Beispiel,,125.0,income,de,medium,False,de-income-03,
de-income-04,Vergütung für Arbeit,,125.0,income,de,medium,False,de-income-04,
de-income-05,Jahresbonus erhalten,,125.0,income,de,medium,False,de-income-05,
de-income-06,Zinsen von der Bank,,125.0,income,de,hard,True,de-income-06,
de-income-07,Einnahmen freiberufliche Arbeit,,125.0,income,de,hard,True,de-income-07,
en-investments-01,Quarterly dividend credit,,-42.5,investments,en,easy,False,en-investments-01,
en-investments-02,Broker securities purchase,,-42.5,investments,en,easy,False,en-investments-02,
en-investments-03,ETF purchase settlement,,-42.5,investments,en,medium,False,en-investments-03,
en-investments-04,Shareholder distribution,,-42.5,investments,en,medium,False,en-investments-04,
en-investments-05,Portfolio custody booking,,-42.5,investments,en,medium,False,en-investments-05,
en-investments-06,Bought index fund units,,-42.5,investments,en,hard,True,en-investments-06,
en-investments-07,Capital markets account movement,,-42.5,investments,en,hard,True,en-investments-07,
de-investments-01,Quartalsdividende Gutschrift,,-42.5,investments,de,easy,False,de-investments-01,
de-investments-02,Broker Wertpapierkauf,,-42.5,investments,de,easy,False,de-investments-02,
de-investments-03,ETF Kauf Abrechnung,,-42.5,investments,de,medium,False,de-investments-03,
de-investments-04,Ausschüttung an Anteilseigner,,-42.5,investments,de,medium,False,de-investments-04,
de-investments-05,Depotbuchung Kapitalanlage,,-42.5,investments,de,medium,False,de-investments-05,
de-investments-06,Indexfonds Anteile gekauft,,-42.5,investments,de,hard,True,de-investments-06,
