id,text,category,language,concept_group,phrase_family,split,generalization_slice
de_groceries_tr1,Lebensmittel,groceries,de,supermarket,grocery_word,train,training
de_groceries_tr2,Wocheneinkauf,groceries,de,supermarket,weekly_shop,train,training
de_groceries_va1,Essen für die Woche gekauft,groceries,de,supermarket,weekly_food,validation,known_concept_new_phrase
de_groceries_va2,Obst und Gemüse,groceries,de,fresh_produce,produce,validation,novel_concept
de_groceries_te1,Vorräte aufgefüllt,groceries,de,supermarket,pantry,test,known_concept_new_phrase
de_groceries_te2,Einkauf im Biomarkt,groceries,de,organic_market,organic,test,novel_concept
en_groceries_tr1,Groceries,groceries,en,supermarket,grocery_word,train,training
en_groceries_tr2,Weekly food shop,groceries,en,supermarket,weekly_shop,train,training
en_groceries_va1,Bought food for the week,groceries,en,supermarket,weekly_food,validation,known_concept_new_phrase
en_groceries_va2,Fruit and vegetables,groceries,en,fresh_produce,produce,validation,novel_concept
en_groceries_te1,Restocked the pantry,groceries,en,supermarket,pantry,test,known_concept_new_phrase
en_groceries_te2,Organic market purchase,groceries,en,organic_market,organic,test,novel_concept
de_dining_tr1,Restaurant,dining,de,restaurant,restaurant_word,train,training
de_dining_tr2,Abendessen gehen,dining,de,restaurant,dinner_out,train,training
de_dining_va1,Essen im Lokal,dining,de,restaurant,meal_out,validation,known_concept_new_phrase
de_dining_va2,Kaffee und Kuchen,dining,de,cafe,cafe_visit,validation,novel_concept
de_dining_te1,Mittagessen auswärts,dining,de,restaurant,lunch_out,test,known_concept_new_phrase
de_dining_te2,Essen bestellt,dining,de,delivery,food_delivery,test,novel_concept
en_dining_tr1,Restaurant,dining,en,restaurant,restaurant_word,train,training
en_dining_tr2,Dinner out,dining,en,restaurant,dinner_out,train,training
en_dining_va1,Ate at a local place,dining,en,restaurant,meal_out,validation,known_concept_new_phrase
en_dining_va2,Coffee and cake,dining,en,cafe,cafe_visit,validation,novel_concept
en_dining_te1,Lunch out,dining,en,restaurant,lunch_out,test,known_concept_new_phrase
en_dining_te2,Ordered food,dining,en,delivery,food_delivery,test,novel_concept
de_transport_tr1,Bahnticket,transport,de,public_transit,train_ticket,train,training
de_transport_tr2,Monatskarte,transport,de,public_transit,monthly_pass,train,training
de_transport_va1,Fahrkarte gekauft,transport,de,public_transit,transit_fare,validation,known_concept_new_phrase
de_transport_va2,Auto getankt,transport,de,fuel,fuel,validation,novel_concept
de_transport_te1,Fahrt zur Arbeit,transport,de,public_transit,commute,test,known_concept_new_phrase
de_transport_te2,Parkhaus,transport,de,parking,parking,test,novel_concept
en_transport_tr1,Train ticket,transport,en,public_transit,train_ticket,train,training
en_transport_tr2,Monthly transit pass,transport,en,public_transit,monthly_pass,train,training
en_transport_va1,Bought a local transit ticket,transport,en,public_transit,transit_fare,validation,known_concept_new_phrase
en_transport_va2,Filled up the car,transport,en,fuel,fuel,validation,novel_concept
en_transport_te1,Commute to work,transport,en,public_transit,commute,test,known_concept_new_phrase
en_transport_te2,Parking garage,transport,en,parking,parking,test,novel_concept
de_housing_tr1,Miete,housing,de,rent,rent_word,train,training
de_housing_tr2,Wohnung bezahlt,housing,de,rent,flat_payment,train,training
de_housing_va1,Zahlung an Vermieter,housing,de,rent,landlord,validation,known_concept_new_phrase
de_housing_va2,Kreditrate fürs Haus,housing,de,mortgage,mortgage,validation,novel_concept
de_housing_te1,Monatliche Wohnkosten,housing,de,rent,housing_cost,test,known_concept_new_phrase
de_housing_te2,Nebenkostenabrechnung,housing,de,property_costs,service_charge,test,novel_concept
en_housing_tr1,Rent,housing,en,rent,rent_word,train,training
en_housing_tr2,Paid for the apartment,housing,en,rent,flat_payment,train,training
en_housing_va1,Payment to landlord,housing,en,rent,landlord,validation,known_concept_new_phrase
en_housing_va2,Home loan payment,housing,en,mortgage,mortgage,validation,novel_concept
en_housing_te1,Monthly housing cost,housing,en,rent,housing_cost,test,known_concept_new_phrase
en_housing_te2,Property service charge,housing,en,property_costs,service_charge,test,novel_concept
de_utilities_tr1,Stromrechnung,utilities,de,electricity,electric_bill,train,training
de_utilities_tr2,Stromabschlag,utilities,de,electricity,electric_payment,train,training
de_utilities_va1,Energie bezahlt,utilities,de,electricity,energy,validation,known_concept_new_phrase
de_utilities_va2,Internetrechnung,utilities,de,internet,internet,validation,novel_concept
de_utilities_te1,Elektrizität,utilities,de,electricity,power,test,known_concept_new_phrase
de_utilities_te2,Wasserrechnung,utilities,de,water,water,test,novel_concept
en_utilities_tr1,Electricity bill,utilities,en,electricity,electric_bill,train,training
